id_demanda,Z,t_min
120310,2765,37.690000000000005
548872,3105,15.360000000000001
111271,3608,31.751666666666665
619888,3802,46.25666666666667
686114,2807,2.378333333333333
549280,3571,9.826666666666666
110699,2926,29.19333333333333
549294,3091,16.821666666666665
655463,2355,13.911666666666667
126155,2338,10.061666666666667
515202,3224,24.828333333333333
239093,3704,45.78333333333333
513570,2411,8.835
116414,3377,41.68
230322,3297,34.38
541608,2954,4.161666666666666
120450,2663,23.813333333333333
229871,3753,51.980000000000004
110770,2629,1.7666666666666666
654007,3084,28.971666666666668
611930,3219,24.21333333333333
548345,3208,18.65666666666667
119262,3097,9.423333333333334
236790,3232,31.241666666666667
548261,3222,24.308333333333334
113456,3459,58.43666666666666
617514,999,98.60166666666667
238229,3571,72.70166666666667
133428,3259,54.90333333333333
241667,3313,56.84
112890,1622,135.185
661893,1427,123.135
661911,2946,58.593333333333334
225399,3733,85.66666666666667
221604,744,88.05833333333334
557196,3023,78.57666666666667
524786,1138,89.61166666666666
243466,3721,52.638333333333335
236070,3563,42.335
573540,1502,89.82833333333333
617049,1054,102.33500000000001
517171,720,94.07666666666667
127860,3557,65.60833333333333
235171,3829,68.82333333333332
515253,3947,58.156666666666666
569760,2132,88.735
229102,3738,71.51833333333335
517342,3561,86.03166666666667
547362,683,75.58500000000001
123891,877,82.96166666666666
661894,1334,125.16000000000001
615802,3608,68.41499999999999
217283,3631,69.72
662505,1685,30.831666666666667
626521,975,10.558333333333334
214057,1421,27.154999999999998
310363,1109,20.083333333333332
662506,1209,13.675
621751,1269,15.478333333333333
527268,589,7.826666666666667
620397,1539,26.728333333333335
618484,919,7.7283333333333335
682871,1217,18.586666666666666
617297,618,0.6883333333333332
614801,1362,14.895000000000001
310009,2685,41.80833333333333
623953,563,16.436666666666667
516576,1850,14.976666666666667
110762,3194,39.37
219969,3149,67.94833333333334
222760,3290,59.82166666666667
622418,3172,34.748333333333335
615092,1774,81.81
610034,3524,58.61833333333333
661898,3537,65.67333333333333
123090,2794,31.381666666666668
661907,3009,39.333333333333336
532338,3262,72.16000000000001
618341,3378,70.52166666666668
661906,3187,42.195
661870,3483,157.72333333333333
661877,3842,138.475
661891,3589,151.31
213557,1435,273.31333333333333
218279,3228,125.45833333333333
220180,3863,123.58166666666666
661902,1230,140.0
117840,3539,136.01833333333335
127083,3392,121.60666666666665
521265,1700,124.69
521258,805,141.83666666666667
661875,3524,138.42166666666665
661897,807,140.505
566748,1205,127.83500000000001
126807,3010,55.56666666666667
131977,3167,48.35
129051,3265,47.42166666666667
613865,1899,100.63666666666667
541044,2860,76.71666666666667
661890,2943,59.65833333333333
250244,3382,64.54166666666667
612213,3194,48.455000000000005
661888,2883,63.19166666666667
527232,3115,58.348333333333336
110623,1864,101.35833333333333
126159,2950,60.894999999999996
624422,3329,45.31166666666666
618683,891,23.126666666666665
662499,1236,16.973333333333333
516588,793,27.955
545658,3109,27.576666666666664
622601,794,29.945
111467,706,21.116666666666667
517609,1210,31.823333333333334
512606,631,24.091666666666665
617629,1010,14.966666666666667
613655,1070,13.096666666666666
626407,1117,33.725
541341,1090,10.326666666666666
680970,3576,68.28833333333334
615937,3888,30.453333333333333
625027,3318,14.766666666666667
616253,3695,46.82
121779,3194,13.648333333333333
682872,3252,30.46833333333333
